stateid,state,income
1,Alabama,40240
2,Alaska,53110
3,Arizona,44370
4,Arkansas,37340
5,California,53030
6,Colorado,48950
7,Connecticut,54410
8,Delaware,49260
9,District of Columbia,77040
10,Florida,41140
11,Georgia,38179
12,Hawaii,45420
13,Idaho,38840
14,Illinois,47680
15,Indiana,40780
16,Iowa,40240
17,Kansas,41240
18,Kentucky,39520
19,Louisiana,39510
20,Maine,41440
21,Maryland,52850
22,Massachusetts,56410
23,Michigan,44540
24,Minnesota,47370
25,Mississippi,36070
26,Missouri,42020
27,Montana,39090
28,Nebraska,40210
29,Nevada,42220
30,New Hampshire,46210
31,New Jersey,52800
32,New Mexico,41470
33,New York,54580
34,North Carolina,42420
35,North Dakota,42410
36,Ohio,43170
37,Oklahoma,39940
38,Oregon,45780
39,Pennsylvania,45280
40,Rhode Island,48820
41,South Carolina,38990
42,South Dakota,36530
43,Tennessee,40200
44,Texas,44400
45,Utah,42740
46,Vermont,44060
47,Virginia,50120
48,Washington,52090
49,West Virginia,37550
50,Wisconsin,42310
51,Wyoming,43770
