"output","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty"
"1",10000,0,-23.9169811246193,-47.8339622492394,-71.7509433738596,-95.6679244984807,-119.584905623101,-143.501886747721,-167.41886787234,-191.335848996961,-215.252830121581,-239.169815981763,-263.086797106382,-287.003778231003,-310.920759355623,-334.837740480242,-358.754721604863,-382.671702729483,-406.588683854102,-430.505664978724,-454.422646103344,-478.339627227963,-502.256608352584,-526.173589477204,-550.090570601823,-574.007551726444,-597.924532851064,-621.841513975683,-645.758495100305,-669.675476224924,-693.592457349543,-717.509443209726,-741.426424334348,-765.343405458965,-789.260386583586,-813.177367708207,-837.094348832827,-861.011329957447,-880.505459649798,-888.081217149797,-895.656974649797,-903.232732149798,-910.808489649797,-918.384247149797,-925.960004649798,-933.535762149798,-941.111519649798,-948.687277149797,-956.263034649797,-963.838792149798,-971.414549649797,-978.990308649797,-986.566066149797,-994.141823649798,-1001.7175811498,-1009.2933386498,-1016.8690961498,-1024.4448536498,-1032.0206111498,-1039.5963686498,-1047.1721261498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498,-1050.2024291498
"2",10476.15753,0,-25.0558061903557,-50.1116123807105,-75.1674185710672,-100.223224761423,-125.279030951777,-150.334837142133,-175.390643332489,-200.446449522845,-225.502255713201,-250.558066864605,-275.613873054961,-300.669679245317,-325.725485435672,-350.781291626029,-375.837097816384,-400.89290400674,-425.948710197095,-451.00451638745,-476.060322577806,-501.116128768163,-526.171934958517,-551.227741148874,-576.28354733923,-601.339353529584,-626.39515971994,-651.450965910296,-676.506772100652,-701.562578291007,-726.618384481364,-751.674195632769,-776.730001823124,-801.785808013479,-826.841614203835,-851.897420394192,-876.953226584546,-902.009032774902,-922.431390131635,-930.367873029541,-938.30435592745,-946.240838825357,-954.177321723265,-962.113804621174,-970.050287519081,-977.986770416989,-985.923253314897,-993.859736212805,-1001.79621911071,-1009.73270200862,-1017.66918490653,-1025.60566937586,-1033.54215227377,-1041.47863517168,-1049.41511806958,-1057.35160096749,-1065.2880838654,-1073.22456676331,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619,-1078.78151976619
"3",10974.98765,0,-26.2488572467992,-52.4977144935974,-78.7465717403966,-104.995428987196,-131.244286233994,-157.493143480793,-183.742000727592,-209.990857974391,-236.23971522119,-262.488577665263,-288.737434912061,-314.98629215886,-341.235149405659,-367.484006652458,-393.732863899257,-419.981721146055,-446.230578392854,-472.479435639652,-498.728292886451,-524.977150133251,-551.226007380049,-577.474864626848,-603.723721873645,-629.972579120445,-656.221436367244,-682.470293614043,-708.719150860843,-734.968008107641,-761.21686535444,-787.465727798512,-813.714585045312,-839.963442292109,-866.212299538908,-892.461156785707,-918.710014032506,-944.958871279305,-966.35365454141,-974.6680390416,-982.982423541789,-991.296808041979,-999.611192542168,-1007.92557704236,-1016.23996154255,-1024.55434604274,-1032.86873054293,-1041.18311504312,-1049.4974995433,-1057.8118840435,-1066.12626854368,-1074.44065469012,-1082.75503919031,-1091.0694236905,-1099.38380819069,-1107.69819269088,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419,-1108.7214247419
"4",11497.56995,0,-27.4987163473152,-54.9974326946285,-82.4961490419446,-109.994865389259,-137.493581736574,-164.992298083889,-192.491014431204,-219.989730778518,-247.488447125834,-274.987168917895,-302.48588526521,-329.984601612525,-357.483317959839,-384.982034307153,-412.480750654468,-439.979467001784,-467.478183349098,-494.976899696413,-522.475616043729,-549.974332391043,-577.473048738359,-604.971765085673,-632.470481432987,-659.969197780302,-687.467914127618,-714.966630474932,-742.465346822248,-769.964063169563,-797.462779516877,-824.961501308938,-852.460217656253,-879.958934003566,-907.457650350882,-934.956366698198,-962.455083045512,-989.953799392827,-1012.36731136805,-1021.07759154609,-1029.78787172414,-1038.49815190219,-1047.20843208024,-1055.91871225829,-1064.62899243634,-1073.33927261439,-1082.04955279243,-1090.75983297048,-1099.47011314853,-1108.18039332658,-1116.89067350463,-1125.60095540731,-1134.31123558536,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097,-1140.08694133097
"5",12045.0354,0,-28.8080884307183,-57.6161768614365,-86.4242652921539,-115.232353722872,-144.04044215359,-172.848530584308,-201.656619015027,-230.464707445745,-259.272795876464,-288.080890011183,-316.888978441901,-345.697066872618,-374.505155303337,-403.313243734055,-432.121332164772,-460.929420595491,-489.737509026208,-518.545597456927,-547.353685887645,-576.161774318362,-604.969862749081,-633.777951179799,-662.586039610516,-691.394128041235,-720.202216471953,-749.010304902672,-777.81839333339,-806.626481764109,-835.434570194826,-864.242664329545,-893.050752760263,-921.858841190981,-950.666929621699,-979.475018052417,-1008.28310648314,-1037.09119491385,-1065.89928334457,-1079.70126062753,-1079.70126062753,-1087.9470233183,-1097.07205004524,-1106.19707677217,-1115.3221034991,-1124.44713022603,-1133.57215695296,-1142.69718367989,-1151.82221040682,-1160.94723713376,-1170.07226386069,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753,-1172.94595062753
"6",12618.56883,0,-30.1798072526835,-60.3596145053662,-90.5394217580488,-120.719229010731,-150.899036263414,-181.078843516098,-211.258650768781,-241.438458021464,-271.618265274147,-301.798078502432,-331.977885755114,-362.157693007796,-392.33750026048,-422.517307513162,-452.697114765846,-482.876922018529,-513.056729271211,-543.236536523894,-573.416343776577,-603.59615102926,-633.775958281943,-663.955765534626,-694.135572787309,-724.315380039992,-754.495187292674,-784.674994545357,-814.854801798041,-845.034609050725,-875.214416303406,-905.394229531692,-935.574036784375,-965.753844037056,-995.93365128974,-1026.11345854242,-1056.29326579511,-1086.47307304779,-1116.65288030047,-1146.83268755315,-1177.01249480584,-1207.19230205852,-1237.3721093112,-1221.20056129007,-1200.15489091599,-1200.15489091599,-1200.15489091599,-1200.15489091599,-1206.66709223131,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599,-1207.36956641599
"7",13219.41148,0,-31.6168414845743,-63.2336829691494,-94.8505244537228,-126.467365938298,-158.084207422871,-189.701048907447,-221.317890392022,-252.934731876597,-284.551573361171,-316.16842110588,-347.785262590453,-379.402104075029,-411.018945559604,-442.635787044179,-474.252628528754,-505.869470013327,-537.486311497902,-569.103152982477,-600.719994467052,-632.336835951625,-663.9536774362,-695.570518920776,-727.187360405349,-758.804201889925,-790.421043374499,-822.037884859074,-853.654726343648,-885.271567828223,-916.888409312796,-948.505257057506,-980.122098542082,-1011.73894002666,-1043.35578151123,-1074.97262299581,-1106.58946448038,-1138.20630596495,-1169.82314744953,-1201.4399889341,-1233.05683041868,-1264.67367190325,-1296.29051338783,-1327.9073548724,-1359.52419635698,-1391.14103784155,-1422.75787932613,-1406.86204747872,-1374.14869414031,-1341.4353408019,-1308.72198746349,-1276.00862764784,-1265.59402038144,-1255.57931481492,-1245.5646092484,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267,-1243.43228822267
"8",13848.86371,0,-33.1223011949496,-66.244602389901,-99.3669035848507,-132.489204779803,-165.611505974753,-198.733807169704,-231.856108364655,-264.978409559605,-298.100710754555,-331.223018507721,-364.345319702672,-397.467620897623,-430.589922092574,-463.712223287524,-496.834524482474,-529.956825677424,-563.079126872376,-596.201428067326,-629.323729262278,-662.446030457227,-695.568331652178,-728.690632847128,-761.812934042078,-794.935235237029,-828.057536431981,-861.179837626931,-894.302138821881,-927.424440016832,-960.546741211782,-993.669048964948,-1026.7913501599,-1059.91365135485,-1093.0359525498,-1126.15825374475,-1159.2805549397,-1192.40285613465,-1225.5251573296,-1258.64745852455,-1291.7697597195,-1324.89206091446,-1358.0143621094,-1391.13666330436,-1424.25896449931,-1457.38126569426,-1490.50356688921,-1523.62586808416,-1556.74816927911,-1589.87047047406,-1578.59483690361,-1544.32380583172,-1510.05278154549,-1475.78175725927,-1441.51073297304,-1407.23970868681,-1372.96868440059,-1338.69766011436,-1310.52260546885,-1300.0310421571,-1289.53947884535,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065,-1281.21216397065
"9",14508.28778,0,-5.38977250875087,-10.7795450174999,-16.1693175262508,-21.5590900350007,-26.9488625437507,-32.3386350525006,-37.7284075612506,-43.1181800700015,-56.9798884863349,-91.6793398553054,-126.378784353788,-161.078228852269,-195.777673350751,-230.477117849232,-265.176562347713,-299.876006846196,-334.575451344676,-369.274895843158,-403.97434034164,-438.673784840122,-473.373229338604,-508.072673837085,-542.772118335567,-577.471562834048,-612.17100733253,-646.870451831011,-681.569896329493,-716.269340827975,-750.968785326456,-785.668236695427,-820.36768119391,-855.067125692391,-889.766570190872,-924.466014689355,-959.165459187836,-993.864903686317,-1028.5643481848,-1063.26379268328,-1097.96323718176,-1132.66268168024,-1167.36212617872,-1202.06157067721,-1236.76101517569,-1271.46045967417,-1306.15990417265,-1340.85934867113,-1375.55879316962,-1410.2582376681,-1444.95768216658,-1479.65713353555,-1514.35657803403,-1498.29417064356,-1462.39130573913,-1426.48844083471,-1390.58557593028,-1354.68271102586,-1318.77984612143,-1282.87698121701,-1246.97411631258,-1211.07125140815,-1175.16838650373,-1139.2655215993,-1103.36265669488,-1088.28687755375,-1077.2957505576,-1066.30462356145,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603,-1065.47584483603
"10",15199.11083,0,-5.64641058622419,-11.2928211724493,-16.9392317586735,-22.5856423448968,-28.2320529311219,-33.8784635173461,-39.5248741035703,-45.1712846897935,-50.8176952760186,-56.464106980231,-62.1105175664561,-67.7569281526803,-73.4033387389036,-79.0497493251287,-84.6961599113529,-90.3425704975771,-95.9889810838013,-122.685999495447,-159.03768417866,-195.38936886187,-231.741053545083,-268.092738228293,-304.444422911506,-340.796107594719,-377.14779227793,-413.499476961141,-449.851161644353,-486.202846327566,-522.554531010777,-558.906222891623,-595.257907574834,-631.609592258046,-667.961276941259,-704.312961624471,-740.664646307681,-777.016330990894,-813.368015674107,-849.719700357316,-886.071385040529,-922.423069723742,-958.774754406953,-995.126439090164,-1031.47812377338,-1067.82980845659,-1104.1814931398,-1140.53317782301,-1176.88486250622,-1213.23654718944,-1249.58823187265,-1285.93992375349,-1322.2916084367,-1358.64329311992,-1394.99497780313,-1431.34666248634,-1400.18422495847,-1362.57181810029,-1324.95941124212,-1287.34700438394,-1249.73459752576,-1212.12219066758,-1174.50978380941,-1136.89737695123,-1099.28497009305,-1061.67256323487,-1024.0601563767,-986.447749518519,-948.835342660341,-911.222935802165,-873.610528943987,-854.463162442908,-842.948684656536,-831.434206870166,-830.6099921083,-830.6099921083,-830.609992108299,-830.609992108301,-830.609992108301,-830.6099921083,-830.609992108301,-830.609992108301,-830.6099921083,-830.6099921083,-830.609992108301,-830.609992108301,-830.609992108301,-830.609992108301,-830.609992108301,-830.6099921083,-830.609992108299,-830.6099921083,-830.609992108301,-830.609992108301,-830.609992108301,-830.6099921083,-830.609992108301,-830.6099921083,-830.609992108301,-830.609992108301,-830.609992108301
