"output_nochildren","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty"
"1",10000,-134.54103343465,-126.819440683891,-119.097847933131,-111.376255182371,-103.654662431611,-95.933069680851,-88.2114769300911,-80.4898841793313,-72.7682914285715,-65.0466986778115,-57.3251043981762,-49.6035116474165,-41.8819188966565,-34.1603261458966,-26.4387333951368,-18.7171406443769,-10.995547893617,-3.27395514285723,4.44763760790278,12.1692303586627,19.8908231094225,27.6124158601824,35.3340086109423,43.0556013617021,50.777194112462,58.498786863222,66.2203796139817,73.9419723647417,81.6635651155016,89.3851578662614,97.1067521458966,104.828344896657,112.549937647416,120.271530398176,127.993123148936,135.127874667173,138.988671042553,142.849467417933,146.710263793313,150.571060168693,154.431856544073,158.292652919453,162.153449294833,166.014245670213,169.875042045593,173.735838420973,177.596634796353,181.457431171733,185.318227547112,189.179023922492,193.03982106231,196.90061743769,200.76141381307,204.62221018845,208.48300656383,212.34380293921,216.20459931459,220.06539568997,223.92619206535,227.786988440729,231.647784816109,235.508581191489,239.369377566869,243.230173942249,247.090970317629,250.951766693009,254.812563068389,258.673359443769,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605,261.437689969605
"2",10476.15753,-188.556062664134,-175.175811861582,-161.79556105903,-148.415310256478,-138.583260848347,-130.493998644401,-122.404736440454,-114.315474236507,-106.226212032561,-98.1369498286139,-90.0476860229933,-81.9584238190468,-73.8691616151001,-65.7798994111533,-57.6906372072067,-49.6013750032602,-41.5121127993134,-33.4228505953668,-25.3335883914202,-17.2443261874735,-9.15506398352682,-1.06580177958017,7.02346042436648,15.1127226283131,23.2019848322598,31.2912470362064,39.3805092401532,47.4697714440997,55.5590336480465,63.6482958519931,71.7375596576137,79.8268218615603,87.9160840655069,96.0053462694536,104.0946084734,112.183870677347,120.273132881294,128.36239508524,136.451657289187,144.540919493134,152.63018169708,160.719443901027,168.808706104973,173.919138986527,177.9637700885,182.008401190474,186.053032292447,190.09766339442,194.142294496394,198.186925598367,202.231557501177,206.276188603151,210.320819705124,214.365450807097,218.41008190907,222.454713011044,226.499344113017,230.54397521499,234.588606316964,238.633237418937,242.67786852091,246.722499622884,250.767130724857,254.81176182683,258.856392928804,262.901024030777,266.94565513275,270.990286234724,275.034917336697,279.07954843867,283.124180341481,287.168811443454,291.213442545427,295.258073647401,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088,297.836966199088
"3",10974.98765,-276.57152912614,-262.554167618221,-248.536806110303,-234.519444602385,-220.502083094467,-206.484721586549,-192.46736007863,-178.449998570712,-164.432637062794,-150.415275554875,-136.397911271519,-122.380549763601,-108.363188255683,-98.9050618469059,-90.4306233391141,-81.9561848313221,-73.4817463235302,-65.0073078157383,-56.5328693079464,-48.0584308001544,-39.5839922923626,-31.1095537845707,-22.6351152767787,-14.1606767689869,-5.68623826119489,2.78820024659706,11.2626387543888,19.7370772621808,28.2115157699729,36.6859542777646,45.1603944634954,53.6348329712874,62.1092714790792,70.5837099868712,79.0581484946632,87.532587002455,96.007025510247,104.481464018039,112.955902525831,121.430341033623,129.904779541415,138.379218049207,146.853656556999,155.328095064791,163.802533572582,172.276972080374,180.751410588166,189.225849095958,197.70028760375,206.174726111542,211.860965211706,216.098184465602,220.335403719498,224.572622973394,228.80984222729,233.047061481186,237.284280735082,241.521499988978,245.758719242874,249.99593849677,254.233157750666,258.470377004562,262.707596258458,266.944815512354,271.18203476625,275.419254020146,279.656473274042,283.893692527938,288.130911781833,292.368131035729,296.605351128595,300.842570382491,305.079789636387,309.317008890283,313.554228144179,317.791447398075,322.028666651971,326.265885905867,330.503105159763,334.740324413659,335.969420661094,335.969420661094,335.969420661094,335.969420661094,335.969420661094,335.969420661094,335.969420661094,335.969420661094,335.969420661094,335.969420661094,335.969420661094,335.969420661094,335.969420661094,335.969420661094,335.969420661094,335.969420661094,335.969420661094,335.969420661094,335.969420661094,335.969420661094
"4",11497.56995,-368.77791974924,-354.09311101948,-339.40830228972,-324.72349355996,-310.0386848302,-295.35387610044,-280.66906737068,-265.98425864092,-251.299449911161,-236.6146411814,-221.929829544048,-207.245020814289,-192.560212084528,-177.875403354769,-163.190594625009,-148.505785895249,-133.820977165489,-119.136168435729,-104.451359705969,-89.7665509762089,-75.0817422464492,-62.5838621591282,-53.7059068814007,-44.8279516036734,-35.9499963259459,-27.0720410482184,-18.194085770491,-9.31613049276342,-0.438175215035869,8.43978006269145,17.3177370982539,26.1956923759816,35.0736476537089,43.9516029314365,52.829558209164,61.7075134868913,70.5854687646189,79.4634240423464,88.3413793200738,97.2193345978012,106.097289875529,114.975245153256,123.853200430984,132.731155708711,141.609110986439,150.487066264166,159.365021541894,168.242976819621,177.120932097348,185.998887375076,194.876844410638,203.754799688366,212.632754966093,221.510710243821,230.388665521548,239.266620799276,248.144576077003,253.021728051985,257.460705690849,261.899683329713,266.338660968577,270.77763860744,275.216616246304,279.655593885168,284.094571524031,288.533549162895,292.972526801759,297.411504440623,301.850482079486,306.28945971835,310.728438236132,315.167415874995,319.606393513859,324.045371152723,328.484348791586,332.92332643045,337.362304069314,341.801281708177,346.240259347041,350.679236985905,355.118214624769,359.557192263632,363.996169902496,368.43514754136,372.874125180224,375.917581284194,375.917581284194,375.917581284194,375.917581284195,375.917581284194,375.917581284194,375.917581284194,375.917581284194,375.917581284194,375.917581284194,375.917581284195,375.917581284194,375.917581284194,375.917581284194,375.917581284194
"5",12045.0354,-465.374787142857,-449.990750188841,-434.606713234825,-419.222676280808,-403.838639326792,-388.454602372776,-373.070565418759,-357.686528464743,-342.302491510727,-326.91845455671,-311.534414556655,-296.150377602639,-280.766340648622,-265.382303694606,-249.99826674059,-234.614229786573,-219.230192832557,-203.846155878541,-188.462118924524,-173.078081970508,-157.694045016492,-142.310008062475,-126.925971108459,-111.541934154443,-96.1578972004265,-80.7738602464101,-65.3898232923938,-50.0057863383773,-34.6217493843609,-21.1513570221916,-11.8506693779272,-2.54998357519855,6.75070222752993,16.0513880302585,25.3520738329872,34.6527596357157,43.9534454384444,53.2541312411731,62.5548170439015,71.8555028466302,81.1561886493589,90.4568744520875,99.7575602548161,109.058246057545,118.358931860273,127.659617663002,136.960303465731,146.260989268459,155.561675071188,164.862360873916,174.163048518181,183.463734320909,192.764420123638,202.065105926367,211.365791729095,220.666477531824,229.967163334552,239.267849137281,248.56853494001,257.869220742738,267.169906545467,276.470592348196,285.771278150924,292.971605548255,297.621948449619,302.272291350984,306.922634252348,311.572977153712,316.223320055076,320.873662956441,325.524006778573,330.174349679937,334.824692581302,339.475035482666,344.12537838403,348.775721285395,353.426064186759,358.076407088123,362.726749989487,367.377092890852,372.027435792216,376.67777869358,381.328121594945,385.978464496309,390.628807397673,395.279150299038,399.929493200402,404.579836101766,409.230179003131,413.880521904495,417.767903677812,417.767903677812,417.767903677812,417.767903677812,417.767903677812,417.767903677812,417.767903677812,417.767903677812,417.767903677812,417.767903677812
"6",12618.56883,-566.571187177812,-550.454627720666,-534.338068263521,-518.221508806376,-502.104949349231,-485.988389892086,-469.87183043494,-453.755270977795,-437.63871152065,-421.522152063505,-405.405589415281,-389.289029958136,-373.172470500991,-357.055911043846,-340.939351586701,-324.822792129555,-308.70623267241,-292.589673215265,-276.47311375812,-260.356554300974,-244.239994843829,-228.123435386684,-212.006875929539,-195.890316472394,-179.773757015249,-163.657197558103,-147.540638100959,-131.424078643813,-115.307519186668,-99.190959729523,-83.0743970812987,-66.9578376241536,-50.8412781670087,-34.7247187098633,-18.6081592527182,-2.49159979557322,13.6249596615721,25.7968632105949,35.540408170864,45.2839531311332,55.0274980914025,64.7710430516718,74.5145880119411,84.2581329722103,94.0016779324794,103.745222892749,113.488767853018,123.232312813287,132.975857773557,142.719402733826,152.462949623317,162.206494583586,171.950039543856,181.693584504125,191.437129464394,201.180674424663,210.924219384932,220.667764345202,230.411309305471,240.15485426574,249.89839922601,259.641944186279,269.385489146548,279.129034106817,288.872579067087,298.616124027356,308.359668987625,318.103213947894,327.846758908164,336.152304023122,341.024077467868,345.895849948002,350.767622428137,355.639394908272,360.511167388406,365.382939868541,370.254712348676,375.12648482881,379.998257308945,384.870029789079,389.741802269214,394.613574749349,399.485347229483,404.357119709618,409.228892189753,414.100664669887,418.972437150022,423.844209630156,428.715982110291,433.587754590426,438.459528035171,443.331300515306,448.203072995441,453.074845475575,457.94661795571,461.610960712766,461.610960712766,461.610960712766,461.610960712766,461.610960712766
"7",13219.41148,-672.586128917933,-655.702167354925,-638.818205791918,-621.93424422891,-605.050282665902,-588.166321102895,-571.282359539887,-554.398397976879,-537.514436413871,-520.630474850864,-503.746509944832,-486.862548381824,-469.978586818816,-453.094625255808,-436.210663692801,-419.326702129793,-402.442740566785,-385.558779003778,-368.67481744077,-351.790855877762,-334.906894314754,-318.022932751747,-301.138971188739,-284.255009625731,-267.371048062723,-250.487086499715,-233.603124936708,-216.7191633737,-199.835201810692,-182.951240247685,-166.067275341653,-149.183313778645,-132.299352215637,-115.415390652629,-98.5314290896215,-81.647467526614,-64.7635059636061,-47.8795444005982,-30.9955828375906,-14.1116212745827,2.77234028842491,19.6563018514324,36.5402634144405,53.4242249774484,68.484635278665,78.692126463993,88.899617649321,99.1071088346489,109.314600019977,119.522091205305,129.729584411716,139.937075597044,150.144566782372,160.3520579677,170.559549153028,180.767040338356,190.974531523684,201.182022709012,211.38951389434,221.597005079668,231.804496264996,242.011987450324,252.219478635652,262.42696982098,272.634461006308,282.841952191636,293.049443376964,303.256934562292,313.46442574762,323.671916932948,333.879410139359,344.086901324687,354.294392510015,364.501883695343,374.709374880671,382.780923491966,387.88466908463,392.988414677294,398.092160269958,403.195905862622,408.299651455286,413.40339704795,418.507142640614,423.610888233278,428.714633825942,433.818379418606,438.92212501127,444.025870603934,449.129616196598,454.233361789262,459.337108392468,464.440853985132,469.544599577796,474.64834517046,479.752090763124,484.855836355788,489.959581948452,495.063327541116,500.16707313378,503
"8",13848.86371,-776.845636324532,-759.157732220424,-741.469828116318,-723.78192401221,-706.094019908103,-688.406115803996,-670.718211699889,-653.030307595782,-635.342403491675,-617.654499387568,-599.966591781256,-582.278687677148,-564.590783573041,-546.902879468934,-529.214975364827,-511.52707126072,-493.839167156613,-476.151263052506,-458.463358948399,-440.775454844291,-423.087550740185,-405.399646636077,-387.71174253197,-370.023838427863,-352.335934323756,-334.648030219649,-316.960126115542,-299.272222011435,-281.584317907327,-263.896413803221,-246.208506196908,-228.520602092801,-210.832697988694,-193.144793884587,-175.45688978048,-157.768985676373,-140.081081572266,-122.393177468159,-104.705273364051,-87.0173692599442,-69.3294651558369,-51.6415610517302,-33.953656947623,-16.2657528435158,1.42215126059102,19.1100553646985,36.7979594688057,54.4858635729125,72.1737676770198,89.8616717811269,107.549579387439,123.410697737352,134.104226300292,144.797754863231,155.491283426171,166.184811989111,176.87834055205,187.57186911499,198.26539767793,208.95892624087,219.65245480381,230.345983366749,241.039511929689,251.733040492629,262.426569055569,273.120097618508,283.813626181448,294.507154744388,305.200683307328,315.894211870267,326.587742550526,337.281271113466,347.974799676405,358.668328239345,369.361856802285,380.055385365225,390.748913928164,401.442442491104,412.135971054044,422.829499616984,433.523028179923,439.89132749184,445.23809177331,450.58485605478,455.93162033625,461.27838461772,466.62514889919,471.97191318066,477.31867746213,482.665441743599,488.012207083729,493.358971365199,498.705735646668,504.052499928138,509.399264209608,509.803416458143,509.803416458143,509.803416458143,509.803416458143,509.803416458143
"9",14508.28778,-842.711317508279,-824.181190536047,-805.651063563816,-787.120936591584,-768.590809619353,-750.060682647121,-731.53055567489,-713.000428702658,-694.470301730427,-675.940174758195,-657.410044116998,-638.879917144767,-620.349790172536,-601.819663200304,-583.289536228073,-564.759409255841,-546.22928228361,-527.699155311378,-509.169028339147,-490.638901366915,-472.108774394684,-453.578647422452,-435.048520450221,-416.518393477989,-397.988266505758,-379.458139533526,-360.928012561295,-342.397885589063,-323.867758616832,-305.3376316446,-286.807501003404,-268.277374031172,-249.747247058941,-231.217120086709,-212.686993114477,-194.156866142246,-175.626739170015,-157.096612197783,-138.566485225552,-120.03635825332,-101.506231281088,-82.976104308857,-64.4459773366254,-45.9158503643939,-27.3857233921624,-8.85559641993092,9.67453055230072,28.204657524532,46.7347844967637,65.2649114689952,83.7950421101916,102.325169082423,120.855296054655,139.385423026886,157.915549999118,176.44567697135,194.975803943581,213.505930915812,227.87458768445,239.077296659248,250.280005634047,261.482714608846,272.685423583644,283.888132558443,295.090841533242,306.29355050804,317.496259482839,328.698968457638,339.901677432436,351.104386407235,362.30709760017,373.509806574968,384.712515549767,395.915224524566,407.117933499364,418.320642474163,429.523351448961,440.72606042376,451.928769398559,463.131478373357,474.334187348156,485.536896322954,496.739605297753,507.942314272552,519.14502324735,530.347732222149,539.005493905125,544.606848392524,550.208202879923,555.809557367322,560.289003552512,560.289003552512,560.289003552512,560.289003552512,560.289003552512,560.289003552512,560.289003552512,560.289003552512,560.289003552512,560.289003552512
"10",15199.11083,-882.732582621005,-869.188196896611,-855.643811172218,-842.099425447825,-828.555039723432,-814.650978711074,-795.238525786535,-775.826072861995,-756.413619937456,-737.001167012917,-717.588710244712,-698.176257320173,-678.763804395633,-659.351351471094,-639.938898546555,-620.526445622015,-601.113992697476,-581.701539772937,-562.289086848397,-542.876633923858,-523.464180999319,-504.051728074779,-484.63927515024,-465.226822225701,-445.814369301161,-426.401916376622,-406.989463452083,-387.577010527543,-368.164557603004,-348.752104678465,-329.33964791026,-309.92719498572,-290.514742061181,-271.102289136642,-251.689836212102,-232.277383287563,-212.864930363024,-193.452477438484,-174.040024513946,-154.627571589406,-135.215118664866,-115.802665740327,-96.3902128157882,-76.9777598912485,-57.5653069667095,-38.1528540421702,-18.7404011176305,0.672051806908485,20.0845047314479,39.4969576559872,58.909414424192,78.3218673487314,97.7343202732711,117.14677319781,136.559226122349,155.971679046889,175.384131971428,194.796584895967,214.209037820507,233.621490745046,253.033943669585,272.446396594125,291.858849518664,311.271302443203,329.310448256207,341.046582656499,352.782717056792,364.518851457084,376.254985857376,387.991120257669,399.727256981716,411.463391382008,423.1995257823,434.935660182593,446.671794582885,458.407928983178,470.14406338347,481.880197783762,493.616332184055,505.352466584347,517.08860098464,528.824735384932,540.560869785225,552.297004185517,564.033138585809,575.769272986102,585.851623526312,591.719690726458,597.587757926604,603.45582512675,609.323893488774,613.178500378995,613.178500378995,613.178500378995,613.178500378995,613.178500378995,613.178500378995,613.178500378995,613.178500378995,613.178500378995
