"output_onechild","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty","penalty"
"1",10000,0,3.86079637538023,7.72159275075956,0.867876084642376,-12.442022170545,-25.7519204257324,-39.0618186809188,-55.4020194361055,-76.2876751912927,-97.1733309464789,-118.058990837027,-138.944646592212,-159.8303023474,-180.715958102586,-201.601613857773,-222.487269612961,-243.372925368147,-264.258581123334,-285.144236878521,-306.029892633708,-326.915548388895,-347.801204144081,-368.686859899268,-389.572515654455,-410.458171409642,-431.343827164829,-452.229482920015,-473.115138675203,-494.00079443039,-514.886450185576,-535.772110076123,-556.65776583131,-577.543421586496,-598.429077341684,-619.31473309687,-640.200388852058,-661.086044607244,-681.971700362431,-702.857356117618,-723.743011872805,-744.628667627992,-765.514323383178,-786.399979138366,-807.285634893553,-828.171290648739,-849.056946403927,-869.942602159113,-890.8282579143,-911.713913669487,-932.599569424674,-953.48522931522,-974.370885070407,-995.256540825594,-1016.14219658078,-1037.02785233597,-1057.91350809115,-1078.79916384634,-1099.68481960153,-1120.57047535672,-1141.4561311119,-1162.34178686709,-1183.22744262228,-1204.11309837746,-1224.99875413265,-1245.88440988784,-1266.77006564302,-1287.65572139821,-1308.5413771534,-1329.42703290858,-1350.31268866377,-1371.19834855432,-1392.0840043095,-1412.96966006469,-1433.85531581988,-1454.74097157507,-1475.62662733025,-1496.51228308544,-1517.39793884063,-1538.28359459581,-1559.169250351,-1580.05490610619,-1600.94056186137,-1621.82621761656,-1642.71187337175,-1663.59752912693,-1684.48318488212,-1705.36884063731,-1726.25449639249,-1747.14015214768,-1768.02580790287,-1788.91146779341,-1809.7971235486,-1830.68277930379,-1851.56843505897,-1872.45409081416,-1893.33974656935,-1914.22540232454,-1935.11105807972,-1955.99671383491,-1976.8823695901
"2",10476.15753,0,4.04463110197321,8.08926220394642,12.1338933059196,16.1785244078937,20.223155509867,24.2677866118402,28.3124177138134,32.3570488157866,36.4016799177598,40.4463118205704,44.4909429225436,35.35758047743,21.4139213944682,7.47026231150721,-6.47339677145374,-25.9771542923636,-47.8572962732333,-69.7374382541011,-91.6175802349708,-113.49772221584,-135.377864196708,-157.258006177578,-179.138148158447,-201.018290139315,-222.898432120184,-244.778574101053,-266.658716081921,-288.538858062791,-310.41900004366,-332.299146356796,-354.179288337666,-376.059430318534,-397.939572299403,-419.819714280272,-441.699856261141,-463.57999824201,-485.460140222879,-507.340282203747,-529.220424184617,-551.100566165485,-572.980708146354,-594.860850127223,-616.740992108092,-638.621134088961,-660.50127606983,-682.381418050698,-704.261560031568,-726.141702012436,-748.021843993305,-769.901990306442,-791.782132287311,-813.66227426818,-835.542416249049,-857.422558229917,-879.302700210786,-901.182842191655,-923.062984172524,-944.943126153393,-966.823268134262,-988.70341011513,-1010.583552096,-1032.46369407687,-1054.34383605774,-1076.22397803861,-1098.10412001947,-1119.98426200034,-1141.86440398121,-1163.74454596208,-1185.62468794295,-1207.50483425609,-1229.38497623696,-1251.26511821782,-1273.14526019869,-1295.02540217956,-1316.90554416043,-1338.7856861413,-1360.66582812217,-1382.54597010304,-1404.42611208391,-1426.30625406478,-1448.18639604564,-1470.06653802651,-1491.94668000738,-1513.82682198825,-1535.70696396912,-1557.58710594999,-1579.46724793086,-1601.34738991173,-1623.2275318926,-1645.10767820573,-1666.9878201866,-1688.86796216747,-1710.74810414834,-1732.62824612921,-1754.50838811008,-1776.38853009095,-1798.26867207182,-1820.14881405268,-1842.02895603355
"3",10974.98765,0,4.237219253896,8.474438507792,12.711657761688,16.948877015584,21.18609626948,25.423315523376,29.660534777272,33.897754031168,38.134973285064,42.3721933779289,46.6094126318249,50.8466318857209,55.0838511396169,59.3210703935129,63.5582896474089,67.7955089013049,72.0327281552009,76.2699474090969,80.5071666629929,80.1216944189282,65.5140975215854,50.9065006242417,36.298903726899,18.3942246787601,-4.52775671877316,-27.4497381163064,-50.3717195138397,-73.2937009113721,-96.2156823089044,-119.137668244989,-142.059649642522,-164.981631040055,-187.903612437588,-210.82559383512,-233.747575232653,-256.669556630186,-279.591538027719,-302.513519425251,-325.435500822784,-348.357482220317,-371.279463617849,-394.201445015382,-417.123426412915,-440.045407810448,-462.967389207981,-485.889370605513,-508.811352003046,-531.733333400579,-554.655314798111,-577.577300734196,-600.499282131729,-623.421263529262,-646.343244926794,-669.265226324327,-692.18720772186,-715.109189119392,-738.031170516925,-760.953151914458,-783.875133311991,-806.797114709523,-829.719096107056,-852.641077504589,-875.563058902122,-898.485040299655,-921.407021697187,-944.32900309472,-967.250984492253,-990.172965889786,-1013.09494728732,-1036.0169332234,-1058.93891462094,-1081.86089601847,-1104.782877416,-1127.70485881353,-1150.62684021107,-1173.5488216086,-1196.47080300613,-1219.39278440366,-1242.3147658012,-1265.23674719873,-1288.15872859626,-1311.0807099938,-1334.00269139133,-1356.92467278886,-1379.84665418639,-1402.76863558393,-1425.69061698146,-1448.61259837899,-1471.53457977652,-1494.45656571261,-1517.37854711014,-1540.30052850768,-1563.22250990521,-1586.14449130274,-1609.06647270027,-1631.98845409781,-1654.91043549534,-1677.83241689287,-1700.7543982904
"4",11497.56995,0,4.43897763886343,8.87795527772778,13.3169329165912,17.7559105554546,22.194888194319,26.6338658331824,31.0728434720459,35.5118211109102,39.9507987497736,44.3897772675546,48.8287549064189,53.2677325452823,57.7067101841458,62.1456878230101,66.5846654618736,71.023643100737,75.4626207396013,79.9015983784648,84.3405760173282,88.7795536561925,93.218531295056,97.6575089339194,102.096486572784,106.535464211647,110.974441850511,115.413419489375,119.852397128238,121.452874233101,106.149725611464,90.8465739597996,75.54342533816,56.1468000696923,32.1333712700034,8.11994247031453,-15.8934863293725,-39.9069151290614,-63.9203439287503,-87.9337727284374,-111.947201528125,-135.960630327814,-159.974059127501,-183.98748792719,-208.000916726878,-232.014345526566,-256.027774326255,-280.041203125943,-304.05463192563,-328.068060725319,-352.081489525007,-376.094923079354,-400.108351879042,-424.121780678731,-448.135209478418,-472.148638278106,-496.162067077794,-520.175495877483,-544.188924677171,-568.202353476859,-592.215782276546,-616.229211076235,-640.242639875923,-664.256068675611,-688.269497475299,-712.282926274987,-736.296355074675,-760.309783874363,-784.323212674052,-808.33664147374,-832.350070273428,-856.363503827775,-880.376932627462,-904.390361427151,-928.403790226839,-952.417219026527,-976.430647826215,-1000.4440766259,-1024.45750542559,-1048.47093422528,-1072.48436302497,-1096.49779182466,-1120.51122062434,-1144.52464942403,-1168.53807822372,-1192.55150702341,-1216.5649358231,-1240.57836462278,-1264.59179342247,-1288.60522222216,-1312.61865102185,-1336.6320845762,-1360.64551337588,-1384.65894217557,-1408.67237097526,-1432.68579977495,-1456.69922857464,-1480.71265737432,-1504.72608617401,-1528.7395149737,-1552.75294377339
"5",12045.0354,0,4.65034290136464,9.30068580272837,13.951028704093,18.6013716054576,23.2517145068214,27.902057408186,32.5524003095497,37.2027432109144,41.853086112279,46.5034299344106,51.1537728357753,55.8041157371399,60.4544586385036,65.1048015398683,69.7551444412329,74.4054873425966,79.0558302439613,83.706173145325,88.3565160466896,93.0068589480543,97.657201849418,102.307544750783,106.957887652147,111.608230553511,116.258573454876,120.908916356239,125.559259257604,130.209602158969,134.859945060332,139.510288882465,144.16063178383,148.810974685193,153.461317586558,158.111660487923,162.762003389286,158.922698669024,142.890879103611,126.859059538198,110.827239972787,86.5496577166004,61.3928114242563,36.235965131913,11.0791188395679,-14.0777274527754,-39.2345737451187,-64.3914200374638,-89.5482663298071,-114.70511262215,-139.861958914496,-165.018810187894,-190.175656480238,-215.332502772582,-240.489349064926,-265.64619535727,-290.803041649614,-315.959887941957,-341.116734234301,-366.273580526646,-391.43042681899,-416.587273111335,-441.744119403678,-466.900965696021,-492.057811988366,-517.21465828071,-542.371504573053,-567.528350865397,-592.685197157742,-617.842043450085,-642.998889742429,-668.155741015829,-693.312587308173,-718.469433600517,-743.626279892861,-768.783126185204,-793.939972477549,-819.096818769893,-844.253665062236,-869.410511354581,-894.567357646925,-919.724203939269,-944.881050231612,-970.037896523957,-995.1947428163,-1020.35158910864,-1045.50843540099,-1070.66528169333,-1095.82212798568,-1120.97897427802,-1146.13582057036,-1171.29267184376,-1196.44951813611,-1221.60636442845,-1246.7632107208,-1271.92005701314,-1297.07690330548,-1322.23374959783,-1347.39059589017,-1372.54744218252,-1397.70428847486
"6",12618.56883,0,4.8717724801345,9.74354496026899,14.6153174404035,19.4870899205389,24.3588624006734,29.2306348808079,34.1024073609424,38.9741798410769,43.8459523212114,48.7177257659569,53.5894982460923,58.4612707262268,63.3330432063613,68.2048156864957,73.0765881666302,77.9483606467647,82.8201331268992,87.6919056070346,92.5636780871691,97.4354505673036,102.307223047438,107.178995527573,112.050768007707,116.922540487842,121.794312967977,126.666085448112,131.537857928246,136.409630408381,141.281402888515,146.15317633326,151.024948813395,155.89672129353,160.768493773665,165.640266253799,170.512038733934,175.383811214068,180.255583694203,185.127356174337,189.999128654473,194.870901134607,199.742673614742,204.614446094876,208.864929743613,192.069743018275,175.274556292939,158.479369567602,135.171981526943,108.81727305629,82.4625645856395,56.1078508967566,29.7531424261042,3.39843395545267,-22.9562745151961,-49.3109829858477,-75.6656914565001,-102.020399927151,-128.375108397801,-154.729816868453,-181.084525339104,-207.439233809755,-233.793942280406,-260.148650751057,-286.503359221709,-312.85806769236,-339.21277616301,-365.567484633662,-391.922193104313,-418.276901574964,-444.631610045615,-470.986323734499,-497.34103220515,-523.6957406758,-550.050449146452,-576.405157617102,-602.759866087754,-629.114574558405,-655.469283029056,-681.823991499707,-708.178699970359,-734.53340844101,-760.888116911661,-787.242825382312,-813.597533852962,-839.952242323614,-866.306950794266,-892.661659264916,-919.016367735567,-945.371076206219,-971.725784676869,-998.080498365753,-1024.4352068364,-1050.78991530706,-1077.14462377771,-1103.49933224836,-1129.85404071901,-1156.20874918966,-1182.56345766031,-1208.91816613096,-1235.27287460161
"7",13219.41148,0,5.10374559266438,10.2074911853279,15.3112367779922,20.4149823706557,25.5187279633201,30.6224735559836,35.7262191486479,40.8299647413123,45.9337103339758,51.0374569371816,56.1412025298459,61.2449481225094,66.3486937151738,71.4524393078373,76.5561849005016,81.659930493166,86.7636760858295,91.8674216784939,96.9711672711574,102.074912863822,107.178658456485,112.28240404915,117.386149641814,122.489895234477,127.593640827142,132.697386419805,137.80113201247,142.904877605133,148.008623197798,153.112369801003,158.216115393667,163.319860986331,168.423606578996,173.527352171659,178.631097764323,183.734843356987,188.838588949651,193.942334542315,199.046080134979,204.149825727643,209.253571320307,214.357316912971,219.461062505635,224.564808098299,229.668553690963,234.772299283627,239.876044876291,244.979790468955,250.083536061619,255.187282664825,237.992282185485,220.39738000626,202.802477827036,177.325191107017,149.715583361272,122.105975615527,94.4963678697832,66.8867601240381,39.2771523782949,11.6675446325489,-15.9420631131961,-43.5516708589394,-71.1612786046835,-98.7708863504286,-126.380494096173,-153.990101841918,-181.599709587663,-209.209317333407,-236.818925079151,-264.428538291598,-292.038146037342,-319.647753783087,-347.257361528832,-374.866969274577,-402.476577020321,-430.086184766066,-457.695792511809,-485.305400257555,-512.9150080033,-540.524615749043,-568.134223494788,-595.743831240533,-623.353438986277,-650.963046732022,-678.572654477766,-706.182262223511,-733.791869969255,-761.401477715,-789.011085460744,-816.620698673191,-844.230306418936,-871.83991416468,-899.449521910425,-927.05912965617,-954.668737401914,-982.278345147659,-1009.8879528934,-1037.49756063915,-1067.37798711134
"8",13848.86371,0,5.34676428147031,10.6935285629397,16.04029284441,21.3870571258794,26.7338214073498,32.0805856888192,37.4273499702895,42.7741142517589,48.1208785332292,53.4676438733577,58.814408154828,64.1611724362974,69.5079367177677,74.8547009992371,80.2014652807075,85.5482295621778,90.8949938436472,96.2417581251175,101.588522406587,106.935286688057,112.282050969527,117.628815250997,122.975579532466,128.322343813937,133.669108095406,139.015872376876,144.362636658346,149.709400939816,155.056165221285,160.402930561415,165.749694842885,171.096459124355,176.443223405825,181.789987687294,187.136751968765,192.483516250234,197.830280531704,203.177044813174,208.523809094644,213.870573376113,219.217337657584,224.564101939053,229.910866220524,235.257630501993,240.604394783463,245.951159064933,251.297923346403,256.644687627873,261.991451909343,267.338217249472,272.684981530942,278.031745812412,283.378510093881,288.725274375352,294.072038656821,299.418802938291,298.669597579047,280.236900886042,261.804204193037,241.207259062981,212.282999058225,183.35873905347,154.434479048714,125.510219043957,96.585959039201,67.6616990344455,38.7374390296891,9.81317902493356,-19.111080979822,-48.035346711582,-76.9596067163384,-105.883866721094,-134.80812672585,-163.732386730606,-192.656646735362,-221.580906740118,-250.505166744873,-279.429426749629,-308.353686754387,-337.277946759142,-366.202206763898,-395.126466768655,-424.05072677341,-452.974986778166,-481.899246782922,-510.823506787678,-539.747766792434,-568.67202679719,-597.596286801946,-626.520552533705,-655.444812538462,-684.369072543217,-713.293332547973,-742.217592552729,-776.08446459042,-810.355488876646,-844.626513162872,-878.897537449098,-913.168561735324
"9",14508.28778,0,5.60135448739948,11.202708974799,16.8040634621975,22.405417949597,28.0067724369965,33.6081269243959,39.2094814117954,44.810835899194,50.4121903865935,56.0135459830617,61.6149004704603,67.2162549578597,72.8176094452592,78.4189639326587,84.0203184200582,89.6216729074567,95.2230273948562,100.824381882256,106.425736369655,112.027090857055,117.628445344453,123.229799831853,128.831154319252,134.432508806652,140.033863294051,145.63521778145,151.236572268849,156.837926756249,162.439281243648,168.040636840115,173.641991327515,179.243345814914,184.844700302314,190.446054789712,196.047409277112,201.648763764511,207.250118251911,212.85147273931,218.452827226709,224.054181714108,229.655536201508,235.256890688907,240.858245176307,246.459599663705,252.060954151105,257.662308638504,263.263663125904,268.865017613303,274.466372100703,280.06772769717,285.66908218457,291.270436671968,296.871791159368,302.473145646767,308.074500134167,313.675854621566,319.277209108966,324.878563596364,330.479918083764,336.081272571163,341.682627058563,347.283981545962,352.885336033361,337.659604757466,318.349221336589,299.038837915712,269.5661062241,239.264595807073,208.963085390047,178.661568973321,148.360058556295,118.058548139269,87.7570377222419,57.4555273052165,27.1540168881902,-3.14749352883791,-33.4490039458624,-63.7505143628896,-94.0520247799168,-124.353535196942,-154.655045613968,-184.956556030996,-215.258066448021,-245.559576865048,-275.861087282075,-306.162597699101,-336.464108116128,-366.765618533154,-397.06712895018,-428.490554778184,-464.39341968261,-500.296284587036,-536.199149491461,-572.102014395888,-608.004879300313,-643.907744204739,-679.810609109165,-715.71347401359,-751.616338918016
"10",15199.11083,0,5.86806720014647,11.736134400292,17.6042016004385,23.472268800585,29.3403360007305,35.208403200877,41.0764704010235,46.9445376011699,52.8126048013155,58.6806731633396,64.5487403634852,70.4168075636317,76.2848747637781,82.1529419639237,88.0210091640702,93.8890763642166,99.7571435643622,105.625210764509,111.493277964655,117.361345164802,123.229412364947,129.097479565094,134.96554676524,140.833613965386,146.701681165532,152.569748365679,158.437815565825,164.305882765971,170.173949966117,176.04201832814,181.910085528287,187.778152728433,193.646219928579,199.514287128725,205.382354328872,211.250421529017,217.118488729164,222.98655592931,228.854623129457,234.722690329602,240.590757529749,246.458824729895,252.326891930041,258.194959130187,264.063026330334,269.93109353048,275.799160730626,281.667227930772,287.535295130919,293.403363492942,299.271430693088,305.139497893234,311.00756509338,316.875632293527,322.743699493672,328.611766693819,334.479833893965,340.347901094112,346.215968294257,352.084035494404,357.95210269455,363.820169894696,369.688237094842,375.556304294989,381.424371495134,387.292438695281,393.160505895427,399.028573095573,404.896640295719,392.299660853389,372.069798981728,351.839937110067,320.919812213902,289.175472555871,257.43113289784,225.686793239808,193.942453581777,162.198113923746,130.453774265714,98.7094346076829,66.9650949496527,35.2207552916207,3.47641563358957,-28.2679240244424,-60.0122636824726,-93.4103872005862,-131.022794058765,-168.635200916941,-206.247607775118,-243.860022080553,-281.47242893873,-319.084835796908,-356.697242655086,-394.309649513263,-431.92205637144,-469.534463229617,-507.146870087795,-544.759276945972,-582.37168380415
