id,stateAbbr,stateName,singlerate,singlebracket,marriedrate,marriedbracket,hohrate,hohbracket,deductionsingle,deductionmarried,deductionhoh,personalexemptionsingle,personalexemptionmarried,personalexemptionhoh,personalexemptiondependent,personalcreditsingle,personalcreditmarried,personalcredithoh,personalcreditdependent,eitcrate,eitcrefund,feddeduct,uibase,uirate
1,AL,Alabama,0.02,0,0.02,0,0.02,0,2500,7500,4700,1500,3000,3000,1000,0,0,0,0,0,0,1,8000,0.0286
1,AL,Alabama,0.04,500,0.04,1000,0.04,500,2500,7500,4700,1500,3000,3000,1000,0,0,0,0,0,0,1,8000,0.0286
1,AL,Alabama,0.05,3000,0.05,6000,0.05,3000,2500,7500,4700,1500,3000,3000,1000,0,0,0,0,0,0,1,8000,0.0286
2,AK,Alaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36900,0.0264
4,AZ,Arizona,0.0259,0,0.0259,0,0.0259,0,5009,10010,10010,2100,4200,4200,2300,0,0,0,0,0,0,0,7000,0.0235
4,AZ,Arizona,0.0288,10000,0.0288,20000,0.0288,20000,5009,10010,10010,2100,4200,4200,2300,0,0,0,0,0,0,0,7000,0.0235
4,AZ,Arizona,0.0336,25000,0.0336,50000,0.0336,50000,5009,10010,10010,2100,4200,4200,2300,0,0,0,0,0,0,0,7000,0.0235
4,AZ,Arizona,0.0424,50000,0.0424,100000,0.0424,100000,5009,10010,10010,2100,4200,4200,2300,0,0,0,0,0,0,0,7000,0.0235
4,AZ,Arizona,0.0454,150000,0.0454,300000,0.0454,300000,5009,10010,10010,2100,4200,4200,2300,0,0,0,0,0,0,0,7000,0.0235
5,AR,Arkansas,0.009,0,0.01,0,0.01,0,2000,4000,2000,0,0,0,0,26,26,52,26,0,0,0,12000,0.033
5,AR,Arkansas,0.024,4299,0.025,4299,0.025,4299,2000,4000,2000,0,0,0,0,26,26,52,26,0,0,0,12000,0.033
5,AR,Arkansas,0.034,8399,0.035,8399,0.035,8399,2000,4000,2000,0,0,0,0,26,26,52,26,0,0,0,12000,0.033
5,AR,Arkansas,0.044,12599,0.045,12599,0.045,12599,2000,4000,2000,0,0,0,0,26,26,52,26,0,0,0,12000,0.033
5,AR,Arkansas,0.059,20999,0.06,20999,0.06,20999,2000,4000,2000,0,0,0,0,26,26,52,26,0,0,0,12000,0.033
5,AR,Arkansas,0.069,35099,0.07,35099,0.07,35099,2000,4000,2000,0,0,0,0,26,26,52,26,0,0,0,12000,0.033
6,CA,California,0.01,0,0.01,0,0.01,0,3992,7984,7984,0,0,0,0,108,216,108,333,0,0,0,7000,0.0525
6,CA,California,0.02,7749,0.02,15498,0.02,15174,3992,7984,7984,0,0,0,0,108,216,108,333,0,0,0,7000,0.0525
